customer_id,customer_name,segment,tier_id,snapshot_date,monthly_script_runs,contracted_monthly_inr,hosting_monthly_inr,support_hours_monthly,support_hourly_cost_inr,tier_name,direct_cost_inr,gross_profit_inr,gross_margin,annualized_contract_inr,discount_rate,effective_price_per_run_inr,cost_to_revenue,overage_inr,proposed_monthly_inr,proposed_gross_profit_inr,review_reason
C001,Simulated Studio 01,Independent Studios,1,2026-08-31,15,12000.00,1500,2,500,Core,2500,9500.00,0.7916666666666666666666666667,144000.00,0.00,800.00,0.2083333333333333333333333333,0,12960.00,10460.00,No flag
C002,Simulated Studio 02,Independent Studios,1,2026-08-31,18,11400.00,1600,4,500,Core,3600,7800.00,0.6842105263157894736842105263,136800.00,0.05,633.3333333333333333333333333,0.3157894736842105263157894737,0,12312.00,8712.00,No flag
C003,Simulated Studio 03,Independent Studios,1,2026-08-31,20,10800.00,1700,6,500,Core,4700,6100.00,0.5648148148148148148148148148,129600.00,0.10,540.00,0.4351851851851851851851851852,0,11664.00,6964.00,No flag
C004,Simulated Studio 04,Independent Studios,1,2026-08-31,22,9600.00,1800,8,500,Core,5800,3800.00,0.3958333333333333333333333333,115200.00,0.20,436.3636363636363636363636364,0.6041666666666666666666666667,0,10368.00,4568.00,Margin review
C005,Simulated Studio 05,Independent Studios,1,2026-08-31,24,12000.00,1900,2,500,Core,2900,9100.00,0.7583333333333333333333333333,144000.00,0.00,500.00,0.2416666666666666666666666667,0,12960.00,10060.00,No flag
C006,Simulated Studio 06,Independent Studios,1,2026-08-31,25,11400.00,2000,4,500,Core,4000,7400.00,0.6491228070175438596491228070,136800.00,0.05,456.00,0.3508771929824561403508771930,0,12312.00,8312.00,No flag
C007,Simulated Studio 07,Production Houses,1,2026-08-31,27,10800.00,2100,6,500,Core,5100,5700.00,0.5277777777777777777777777778,129600.00,0.10,400.00,0.4722222222222222222222222222,400,12064.00,6964.00,Usage review
C008,Simulated Studio 08,Production Houses,1,2026-08-31,28,9600.00,2200,8,500,Core,6200,3400.00,0.3541666666666666666666666667,115200.00,0.20,342.8571428571428571428571429,0.6458333333333333333333333333,600,10968.00,4768.00,Margin review
C009,Simulated Studio 09,Production Houses,1,2026-08-31,30,12000.00,2300,2,500,Core,3300,8700.00,0.725,144000.00,0.00,400.00,0.275,1000,13960.00,10660.00,Usage review
C010,Simulated Studio 10,Production Houses,1,2026-08-31,32,11400.00,2400,4,500,Core,4400,7000.00,0.6140350877192982456140350877,136800.00,0.05,356.25,0.3859649122807017543859649123,1400,13712.00,9312.00,Usage review
C011,Simulated Studio 11,Streaming Studios,1,2026-08-31,35,10800.00,2500,6,500,Core,5500,5300.00,0.4907407407407407407407407407,129600.00,0.10,308.5714285714285714285714286,0.5092592592592592592592592593,2000,13664.00,8164.00,Margin review
C012,Simulated Studio 12,Streaming Studios,1,2026-08-31,40,9600.00,2600,24,500,Core,14600,-5000.00,-0.5208333333333333333333333333,115200.00,0.20,240.00,1.520833333333333333333333333,3000,13368.00,-1232.00,Margin review
C013,Simulated Studio 13,Independent Studios,2,2026-08-31,45,25000.00,3500,4,500,Growth,5500,19500.00,0.78,300000.00,0.00,555.5555555555555555555555556,0.22,0,27500.00,22000.00,No flag
C014,Simulated Studio 14,Independent Studios,2,2026-08-31,50,23750.00,3600,6,500,Growth,6600,17150.00,0.7221052631578947368421052632,285000.00,0.05,475.00,0.2778947368421052631578947368,0,26125.00,19525.00,No flag
C015,Simulated Studio 15,Independent Studios,2,2026-08-31,55,22500.00,3700,8,500,Growth,7700,14800.00,0.6577777777777777777777777778,270000.00,0.10,409.0909090909090909090909091,0.3422222222222222222222222222,0,24750.00,17050.00,No flag
C016,Simulated Studio 16,Production Houses,2,2026-08-31,60,20000.00,3800,10,500,Growth,8800,11200.00,0.56,240000.00,0.20,333.3333333333333333333333333,0.44,0,22000.00,13200.00,Discount review
C017,Simulated Studio 17,Production Houses,2,2026-08-31,65,25000.00,3900,4,500,Growth,5900,19100.00,0.764,300000.00,0.00,384.6153846153846153846153846,0.236,0,27500.00,21600.00,No flag
C018,Simulated Studio 18,Production Houses,2,2026-08-31,70,23750.00,4000,6,500,Growth,7000,16750.00,0.7052631578947368421052631579,285000.00,0.05,339.2857142857142857142857143,0.2947368421052631578947368421,0,26125.00,19125.00,No flag
C019,Simulated Studio 19,Production Houses,2,2026-08-31,75,22500.00,4100,8,500,Growth,8100,14400.00,0.64,270000.00,0.10,300.00,0.36,0,24750.00,16650.00,No flag
C020,Simulated Studio 20,Production Houses,2,2026-08-31,80,20000.00,4200,10,500,Growth,9200,10800.00,0.54,240000.00,0.20,250.00,0.46,0,22000.00,12800.00,Discount review
C021,Simulated Studio 21,Production Houses,2,2026-08-31,85,25000.00,4300,4,500,Growth,6300,18700.00,0.748,300000.00,0.00,294.1176470588235294117647059,0.252,750,28250.00,21950.00,Usage review
C022,Simulated Studio 22,Streaming Studios,2,2026-08-31,90,23750.00,4400,6,500,Growth,7400,16350.00,0.6884210526315789473684210526,285000.00,0.05,263.8888888888888888888888889,0.3115789473684210526315789474,1500,27625.00,20225.00,Usage review
C023,Simulated Studio 23,Streaming Studios,2,2026-08-31,100,22500.00,4500,8,500,Growth,8500,14000.00,0.6222222222222222222222222222,270000.00,0.10,225.00,0.3777777777777777777777777778,3000,27750.00,19250.00,Usage review
C024,Simulated Studio 24,Streaming Studios,2,2026-08-31,110,20000.00,4600,30,500,Growth,19600,400.00,0.02,240000.00,0.20,181.8181818181818181818181818,0.98,4500,26500.00,6900.00,Margin review
C025,Simulated Studio 25,Independent Studios,3,2026-08-31,140,50000.00,8000,8,500,Enterprise,12000,38000.00,0.76,600000.00,0.00,357.1428571428571428571428571,0.24,0,56000.00,44000.00,No flag
C026,Simulated Studio 26,Independent Studios,3,2026-08-31,150,47500.00,8100,10,500,Enterprise,13100,34400.00,0.7242105263157894736842105263,570000.00,0.05,316.6666666666666666666666667,0.2757894736842105263157894737,0,53200.00,40100.00,No flag
C027,Simulated Studio 27,Production Houses,3,2026-08-31,160,45000.00,8200,12,500,Enterprise,14200,30800.00,0.6844444444444444444444444444,540000.00,0.10,281.25,0.3155555555555555555555555556,0,50400.00,36200.00,No flag
C028,Simulated Studio 28,Production Houses,3,2026-08-31,170,40000.00,8300,14,500,Enterprise,15300,24700.00,0.6175,480000.00,0.20,235.2941176470588235294117647,0.3825,0,44800.00,29500.00,Discount review
C029,Simulated Studio 29,Production Houses,3,2026-08-31,180,50000.00,8400,8,500,Enterprise,12400,37600.00,0.752,600000.00,0.00,277.7777777777777777777777778,0.248,0,56000.00,43600.00,No flag
C030,Simulated Studio 30,Production Houses,3,2026-08-31,190,47500.00,8500,10,500,Enterprise,13500,34000.00,0.7157894736842105263157894737,570000.00,0.05,250.00,0.2842105263157894736842105263,0,53200.00,39700.00,No flag
C031,Simulated Studio 31,Streaming Studios,3,2026-08-31,200,45000.00,8600,12,500,Enterprise,14600,30400.00,0.6755555555555555555555555556,540000.00,0.10,225.00,0.3244444444444444444444444444,0,50400.00,35800.00,No flag
C032,Simulated Studio 32,Streaming Studios,3,2026-08-31,210,40000.00,8700,14,500,Enterprise,15700,24300.00,0.6075,480000.00,0.20,190.4761904761904761904761905,0.3925,0,44800.00,29100.00,Discount review
C033,Simulated Studio 33,Streaming Studios,3,2026-08-31,230,50000.00,8800,8,500,Enterprise,12800,37200.00,0.744,600000.00,0.00,217.3913043478260869565217391,0.256,0,56000.00,43200.00,No flag
C034,Simulated Studio 34,Streaming Studios,3,2026-08-31,250,47500.00,8900,10,500,Enterprise,13900,33600.00,0.7073684210526315789473684211,570000.00,0.05,190.00,0.2926315789473684210526315789,0,53200.00,39300.00,No flag
C035,Simulated Studio 35,Streaming Studios,3,2026-08-31,270,45000.00,9000,12,500,Enterprise,15000,30000.00,0.6666666666666666666666666667,540000.00,0.10,166.6666666666666666666666667,0.3333333333333333333333333333,2000,52400.00,37400.00,Usage review
