scenario_name,month,cumulative_net_cash_inr
Current,0,-25000000.00
Current,12,-23717800.00
Current,24,-22435600.00
Current,36,-21153400.00
Current,48,-19871200.00
Current,60,-18589000.00
Current,72,-17306800.00
Current,84,-16024600.00
Current,96,-14742400.00
Current,108,-13460200.00
Current,120,-12178000.00
Current,132,-10895800.00
Current,144,-9613600.00
Current,156,-8331400.00
Current,168,-7049200.00
Current,180,-5767000.00
Current,192,-4484800.00
Current,204,-3202600.00
Current,216,-1920400.00
Current,228,-638200.00
Current,240,644000.00
Conservative,0,-25000000.000000
Conservative,12,-23106470.440000
Conservative,24,-21212940.880000
Conservative,36,-19319411.320000
Conservative,48,-17425881.760000
Conservative,60,-15532352.200000
Conservative,72,-13638822.640000
Conservative,84,-11745293.080000
Conservative,96,-9851763.520000
Conservative,108,-7958233.960000
Conservative,120,-6064704.400000
Conservative,132,-4171174.840000
Conservative,144,-2277645.280000
Conservative,156,-384115.720000
Conservative,168,1509413.840000
Conservative,180,3402943.400000
Conservative,192,5296472.960000
Conservative,204,7190002.520000
Conservative,216,9083532.080000
Conservative,228,10977061.640000
Conservative,240,12870591.200000
Base,0,-25000000.0000
Base,12,-22614308.2000
Base,24,-20228616.4000
Base,36,-17842924.6000
Base,48,-15457232.8000
Base,60,-13071541.0000
Base,72,-10685849.2000
Base,84,-8300157.4000
Base,96,-5914465.6000
Base,108,-3528773.8000
Base,120,-1143082.0000
Base,132,1242609.8000
Base,144,3628301.6000
Base,156,6013993.4000
Base,168,8399685.2000
Base,180,10785377.0000
Base,192,13171068.8000
Base,204,15556760.6000
Base,216,17942452.4000
Base,228,20328144.2000
Base,240,22713836.0000
Upside,0,-25000000.00
Upside,12,-22172956.00
Upside,24,-19345912.00
Upside,36,-16518868.00
Upside,48,-13691824.00
Upside,60,-10864780.00
Upside,72,-8037736.00
Upside,84,-5210692.00
Upside,96,-2383648.00
Upside,108,443396.00
Upside,120,3270440.00
Upside,132,6097484.00
Upside,144,8924528.00
Upside,156,11751572.00
Upside,168,14578616.00
Upside,180,17405660.00
Upside,192,20232704.00
Upside,204,23059748.00
Upside,216,25886792.00
Upside,228,28713836.00
Upside,240,31540880.00
